"Path","Width","Height","KB"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic\BBL (14).jpg","1766","1179","411.4"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic\BBL (15).jpg","1766","1179","222.1"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic\BBL (4).jpg","1766","1179","409.3"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic\BBL (16).jpg","1766","1179","515.1"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-intimate\makgadikgadi-meerkats.jpg","1772","1181","223.8"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-intimate\victoria-falls-river-deck.jpg","1772","1181","470.3"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-intimate\victoria-falls-lodge-exterior.jpg","1772","1182","501.1"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-intimate\victoria-falls-suite.jpg","1772","1182","436.3"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-intimate\updates\victoria-falls-walking-sunset.jpg","1772","1182","429.5"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic\BBL (3).jpg","1783","1184","247.4"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-intimate.jpg","1800","1200","282.1"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-untamed\Chindeni (15).jpg","1800","1200","207.8"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-untamed\Chindeni (18).jpg","1800","1200","685.5"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-intimate\updates\victoria-falls-pool.jpg","1918","1440","636.6"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic\BBL (21).jpg","1920","1080","315.2"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-private-circuit\SV (14).jpg","1920","1080","456"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-private-circuit\SS (9).jpg","1920","1080","325.7"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journal\private-travel-owes-conservation\hero.jpg","1920","1080","409.4"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journal\lgbtq-travel-southern-africa\namibia.jpg","1920","1080","257.4"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-private-circuit\SV (13).jpg","1920","1080","479.3"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journal\solitude-architecture-of-silence-namibia\hero.jpg","1920","1080","115.2"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journal\what-conservation-looks-like-when-it-is-working\fieldwork.jpg","1920","1080","417.8"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journal\what-conservation-looks-like-when-it-is-working\hero.jpg","1920","1080","456.7"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journal\tanzania-vs-botswana-luxury-safari\hero.jpg","1920","1080","343.9"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journal\culture-is-not-an-add-on\supporting.jpg","1920","1080","393.6"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journal\destination-notes-south-africa\kwazulu-natal.jpg","1920","1080","356.4"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic\BBL (10).jpg","1920","1100","186.6"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic\BBL (1).jpg","1920","1100","505.3"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic\BBL (7).jpg","1920","1100","622.3"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic\BBL (12).jpg","1920","1100","186.5"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journal\tanzania-vs-botswana-luxury-safari\botswana.jpg","1920","1200","425.3"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-private-circuit\SM (6).jpg","1920","1280","453.3"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-private-circuit\SS (5).jpg","1920","1280","218.1"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\home\home-hero.jpg","1920","1280","371"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-private-circuit\SM (14).jpg","1920","1280","149.1"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-private-circuit\SV (1).jpg","1920","1280","304.1"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-untamed\Chindeni (14).jpg","1920","1280","928.2"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-private-circuit\SM (15).jpg","1920","1280","322.4"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-private-circuit\SM (7).jpg","1920","1280","341.6"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-private-circuit\SM (20).jpg","1920","1280","195.4"
